gene	barcode_full	expression	barcode
LINC00930	TCGA-CM-6162-01	-0.443	TCGA-CM-6162
LINC00930	TCGA-CM-6163-01	-1.2193	TCGA-CM-6163
LINC00930	TCGA-CM-6164-01	-1.2193	TCGA-CM-6164
LINC00930	TCGA-CM-6165-01	-0.736	TCGA-CM-6165
LINC00930	TCGA-CM-6166-01	-1.2193	TCGA-CM-6166
LINC00930	TCGA-CM-6167-01	-0.0707	TCGA-CM-6167
LINC00930	TCGA-CM-6168-01	0.3024	TCGA-CM-6168
LINC00930	TCGA-CM-6169-01	-1.2193	TCGA-CM-6169
LINC00930	TCGA-CM-6170-01	-1.2193	TCGA-CM-6170
LINC00930	TCGA-CM-6171-01	2.045	TCGA-CM-6171
LINC00930	TCGA-CM-6172-01	-0.4292	TCGA-CM-6172
LINC00930	TCGA-CM-6674-01	-0.0236	TCGA-CM-6674
LINC00930	TCGA-CM-6675-01	-0.8106	TCGA-CM-6675
LINC00930	TCGA-CM-6676-01	-0.7882	TCGA-CM-6676
LINC00930	TCGA-CM-6677-01	-1.2193	TCGA-CM-6677
LINC00930	TCGA-CM-6678-01	-0.2111	TCGA-CM-6678
LINC00930	TCGA-CM-6679-01	-0.8178	TCGA-CM-6679
LINC00930	TCGA-CM-6680-01	1.3517	TCGA-CM-6680
LINC00930	TCGA-D5-5537-01	-1.2193	TCGA-D5-5537
LINC00930	TCGA-D5-5538-01	-0.7346	TCGA-D5-5538
LINC00930	TCGA-D5-5539-01	0.538	TCGA-D5-5539
LINC00930	TCGA-D5-5540-01	0.0437	TCGA-D5-5540
LINC00930	TCGA-D5-5541-01	-0.5899	TCGA-D5-5541
LINC00930	TCGA-D5-6529-01	-0.7623	TCGA-D5-6529
LINC00930	TCGA-D5-6530-01	1.4883	TCGA-D5-6530
LINC00930	TCGA-D5-6531-01	-1.2193	TCGA-D5-6531
LINC00930	TCGA-D5-6532-01	-0.7796	TCGA-D5-6532
LINC00930	TCGA-D5-6533-01	-1.2193	TCGA-D5-6533
LINC00930	TCGA-D5-6534-01	-0.8584	TCGA-D5-6534
LINC00930	TCGA-D5-6535-01	-1.2193	TCGA-D5-6535
LINC00930	TCGA-D5-6536-01	0.1936	TCGA-D5-6536
LINC00930	TCGA-D5-6537-01	-0.7898	TCGA-D5-6537
LINC00930	TCGA-D5-6538-01	0.0216	TCGA-D5-6538
LINC00930	TCGA-D5-6539-01	0.0494	TCGA-D5-6539
LINC00930	TCGA-D5-6540-01	1.0637	TCGA-D5-6540
LINC00930	TCGA-D5-6541-01	-1.2193	TCGA-D5-6541
LINC00930	TCGA-D5-6898-01	-1.2193	TCGA-D5-6898
LINC00930	TCGA-D5-6920-01	-0.278	TCGA-D5-6920
LINC00930	TCGA-D5-6922-01	-1.2193	TCGA-D5-6922
LINC00930	TCGA-D5-6923-01	-0.6117	TCGA-D5-6923
LINC00930	TCGA-D5-6924-01	-1.2193	TCGA-D5-6924
LINC00930	TCGA-D5-6926-01	-0.4753	TCGA-D5-6926
LINC00930	TCGA-D5-6927-01	-1.2193	TCGA-D5-6927
LINC00930	TCGA-D5-6928-01	-0.791	TCGA-D5-6928
LINC00930	TCGA-D5-6929-01	-1.2193	TCGA-D5-6929
LINC00930	TCGA-D5-6930-01	2.6778	TCGA-D5-6930
LINC00930	TCGA-D5-6931-01	0.6593	TCGA-D5-6931
LINC00930	TCGA-D5-6932-01	-0.7699	TCGA-D5-6932
LINC00930	TCGA-D5-7000-01	-0.5205	TCGA-D5-7000
LINC00930	TCGA-DM-A0X9-01	0.2028	TCGA-DM-A0X9
LINC00930	TCGA-DM-A0XD-01	-0.7568	TCGA-DM-A0XD
LINC00930	TCGA-DM-A0XF-01	-0.4005	TCGA-DM-A0XF
LINC00930	TCGA-DM-A1D0-01	-1.2193	TCGA-DM-A1D0
LINC00930	TCGA-DM-A1D4-01	-0.8065	TCGA-DM-A1D4
LINC00930	TCGA-DM-A1D6-01	-0.1567	TCGA-DM-A1D6
LINC00930	TCGA-DM-A1D7-01	-1.2193	TCGA-DM-A1D7
LINC00930	TCGA-DM-A1D8-01	0.0996	TCGA-DM-A1D8
LINC00930	TCGA-DM-A1D9-01	0.448	TCGA-DM-A1D9
LINC00930	TCGA-DM-A1DA-01	-0.8858	TCGA-DM-A1DA
LINC00930	TCGA-DM-A1DB-01	-0.4701	TCGA-DM-A1DB
LINC00930	TCGA-DM-A1HA-01	-0.8137	TCGA-DM-A1HA
LINC00930	TCGA-DM-A1HB-01	-0.5058	TCGA-DM-A1HB
LINC00930	TCGA-DM-A280-01	-1.2193	TCGA-DM-A280
LINC00930	TCGA-DM-A282-01	-1.2193	TCGA-DM-A282
LINC00930	TCGA-DM-A285-01	0.0337	TCGA-DM-A285
LINC00930	TCGA-DM-A288-01	-1.2193	TCGA-DM-A288
LINC00930	TCGA-DM-A28A-01	-0.2317	TCGA-DM-A28A
LINC00930	TCGA-DM-A28C-01	-1.2193	TCGA-DM-A28C
LINC00930	TCGA-DM-A28E-01	-1.2193	TCGA-DM-A28E
LINC00930	TCGA-DM-A28F-01	-0.8584	TCGA-DM-A28F
LINC00930	TCGA-DM-A28G-01	-0.7636	TCGA-DM-A28G
LINC00930	TCGA-DM-A28H-01	-0.8172	TCGA-DM-A28H
LINC00930	TCGA-DM-A28K-01	3.1657	TCGA-DM-A28K
LINC00930	TCGA-DM-A28M-01	-1.2193	TCGA-DM-A28M
LINC00930	TCGA-F4-6459-01	-0.4739	TCGA-F4-6459
LINC00930	TCGA-F4-6460-01	-0.7128	TCGA-F4-6460
LINC00930	TCGA-F4-6461-01	2.3588	TCGA-F4-6461
LINC00930	TCGA-F4-6463-01	-0.1133	TCGA-F4-6463
LINC00930	TCGA-F4-6569-01	-1.2193	TCGA-F4-6569
LINC00930	TCGA-F4-6570-01	-1.2193	TCGA-F4-6570
LINC00930	TCGA-F4-6703-01	-0.5352	TCGA-F4-6703
LINC00930	TCGA-F4-6704-01	-0.9268	TCGA-F4-6704
LINC00930	TCGA-F4-6805-01	-0.6813	TCGA-F4-6805
LINC00930	TCGA-F4-6806-01	0.1105	TCGA-F4-6806
LINC00930	TCGA-F4-6807-01	-0.7162	TCGA-F4-6807
LINC00930	TCGA-F4-6808-01	-1.2193	TCGA-F4-6808
LINC00930	TCGA-F4-6809-01	-1.2193	TCGA-F4-6809
LINC00930	TCGA-F4-6854-01	-0.5824	TCGA-F4-6854
LINC00930	TCGA-F4-6855-01	0.99	TCGA-F4-6855
LINC00930	TCGA-F4-6856-01	1.3901	TCGA-F4-6856
LINC00930	TCGA-G4-6293-01	-1.2193	TCGA-G4-6293
LINC00930	TCGA-G4-6294-01	0.0464	TCGA-G4-6294
LINC00930	TCGA-G4-6295-01	-0.7412	TCGA-G4-6295
LINC00930	TCGA-G4-6297-01	-0.7466	TCGA-G4-6297
LINC00930	TCGA-G4-6298-01	-1.2193	TCGA-G4-6298
LINC00930	TCGA-G4-6299-01	0.032	TCGA-G4-6299
LINC00930	TCGA-G4-6302-01	-1.2193	TCGA-G4-6302
LINC00930	TCGA-G4-6303-01	-1.2193	TCGA-G4-6303
LINC00930	TCGA-G4-6304-01	-0.4616	TCGA-G4-6304
LINC00930	TCGA-G4-6306-01	-1.2193	TCGA-G4-6306
LINC00930	TCGA-G4-6307-01	-1.2193	TCGA-G4-6307
LINC00930	TCGA-G4-6309-01	1.2593	TCGA-G4-6309
LINC00930	TCGA-G4-6311-01	-0.7102	TCGA-G4-6311
LINC00930	TCGA-G4-6315-01	1.0685	TCGA-G4-6315
LINC00930	TCGA-G4-6317-01	-1.2193	TCGA-G4-6317
LINC00930	TCGA-G4-6320-01	2.1808	TCGA-G4-6320
LINC00930	TCGA-G4-6321-01	0.8625	TCGA-G4-6321
LINC00930	TCGA-G4-6322-01	3.6372	TCGA-G4-6322
LINC00930	TCGA-G4-6323-01	0.2486	TCGA-G4-6323
LINC00930	TCGA-G4-6586-01	-0.7914	TCGA-G4-6586
LINC00930	TCGA-G4-6588-01	0.7248	TCGA-G4-6588
LINC00930	TCGA-G4-6626-01	-1.2193	TCGA-G4-6626
LINC00930	TCGA-G4-6627-01	0.3157	TCGA-G4-6627
LINC00930	TCGA-G4-6628-01	-0.4904	TCGA-G4-6628
LINC00930	TCGA-NH-A50T-01	-0.7719	TCGA-NH-A50T
LINC00930	TCGA-NH-A50U-01	-1.2193	TCGA-NH-A50U
LINC00930	TCGA-NH-A50V-01	-1.2193	TCGA-NH-A50V
LINC00930	TCGA-NH-A5IV-01	2.8737	TCGA-NH-A5IV
LINC00930	TCGA-NH-A6GA-01	-0.3561	TCGA-NH-A6GA
LINC00930	TCGA-NH-A6GB-01	-1.2193	TCGA-NH-A6GB
LINC00930	TCGA-NH-A6GC-01	3.4944	TCGA-NH-A6GC
LINC00930	TCGA-NH-A8F7-01	-1.2193	TCGA-NH-A8F7
LINC00930	TCGA-NH-A8F8-01	-1.2193	TCGA-NH-A8F8
LINC00930	TCGA-QG-A5YV-01	-0.8187	TCGA-QG-A5YV
LINC00930	TCGA-QG-A5YW-01	-0.5106	TCGA-QG-A5YW
LINC00930	TCGA-QG-A5YX-01	0.2772	TCGA-QG-A5YX
LINC00930	TCGA-QG-A5Z1-01	-0.8692	TCGA-QG-A5Z1
LINC00930	TCGA-QG-A5Z2-01	2.4684	TCGA-QG-A5Z2
LINC00930	TCGA-QL-A97D-01	-0.7523	TCGA-QL-A97D
LINC00930	TCGA-RU-A8FL-01	-1.2193	TCGA-RU-A8FL
LINC00930	TCGA-SS-A7HO-01	-0.2111	TCGA-SS-A7HO
LINC00930	TCGA-T9-A92H-01	-0.7954	TCGA-T9-A92H
LINC00930	TCGA-WS-AB45-01	1.384	TCGA-WS-AB45
LINC00930	TCGA-A6-2671-01	-1.2193	TCGA-A6-2671
LINC00930	TCGA-A6-2672-01	-1.2193	TCGA-A6-2672
LINC00930	TCGA-A6-2674-01	-0.5986	TCGA-A6-2674
LINC00930	TCGA-A6-2676-01	-1.2193	TCGA-A6-2676
LINC00930	TCGA-A6-2677-01	-1.2193	TCGA-A6-2677
LINC00930	TCGA-A6-2678-01	-0.8989	TCGA-A6-2678
LINC00930	TCGA-A6-2679-01	-1.2193	TCGA-A6-2679
LINC00930	TCGA-A6-2680-01	-1.2193	TCGA-A6-2680
LINC00930	TCGA-A6-2681-01	-1.2193	TCGA-A6-2681
LINC00930	TCGA-A6-2683-01	-1.2193	TCGA-A6-2683
LINC00930	TCGA-A6-3807-01	-0.4524	TCGA-A6-3807
LINC00930	TCGA-A6-3808-01	-1.2193	TCGA-A6-3808
LINC00930	TCGA-A6-3809-01	-1.2193	TCGA-A6-3809
LINC00930	TCGA-A6-3810-01	-1.2193	TCGA-A6-3810
LINC00930	TCGA-A6-4107-01	-0.6764	TCGA-A6-4107
LINC00930	TCGA-AA-3488-01	-1.2193	TCGA-AA-3488
LINC00930	TCGA-AA-3494-01	-0.7965	TCGA-AA-3494
LINC00930	TCGA-AA-3510-01	-1.2193	TCGA-AA-3510
LINC00930	TCGA-AA-3514-01	-1.2193	TCGA-AA-3514
LINC00930	TCGA-AA-3517-01	-0.1068	TCGA-AA-3517
LINC00930	TCGA-AA-3518-01	-0.6118	TCGA-AA-3518
LINC00930	TCGA-AA-3519-01	-1.2193	TCGA-AA-3519
LINC00930	TCGA-AA-3520-01	-0.2089	TCGA-AA-3520
LINC00930	TCGA-AA-3521-01	-0.0611	TCGA-AA-3521
LINC00930	TCGA-AA-3522-01	-0.76	TCGA-AA-3522
LINC00930	TCGA-AA-3524-01	-1.2193	TCGA-AA-3524
LINC00930	TCGA-AA-3525-01	-0.6285	TCGA-AA-3525
LINC00930	TCGA-AA-3527-01	-1.2193	TCGA-AA-3527
LINC00930	TCGA-AA-3529-01	-0.6914	TCGA-AA-3529
LINC00930	TCGA-AA-3530-01	0.3666	TCGA-AA-3530
LINC00930	TCGA-AA-3531-01	-1.2193	TCGA-AA-3531
LINC00930	TCGA-AA-3532-01	-1.2193	TCGA-AA-3532
LINC00930	TCGA-AA-3534-01	-1.2193	TCGA-AA-3534
LINC00930	TCGA-AA-3538-01	-1.2193	TCGA-AA-3538
LINC00930	TCGA-AA-3542-01	-1.2193	TCGA-AA-3542
LINC00930	TCGA-AA-3543-01	-1.2193	TCGA-AA-3543
LINC00930	TCGA-AA-3544-01	-1.2193	TCGA-AA-3544
LINC00930	TCGA-AA-3548-01	-1.2193	TCGA-AA-3548
LINC00930	TCGA-AA-3549-01	-1.2193	TCGA-AA-3549
LINC00930	TCGA-AA-3552-01	-1.2193	TCGA-AA-3552
LINC00930	TCGA-AA-3553-01	-1.2193	TCGA-AA-3553
LINC00930	TCGA-AA-3555-01	1.0414	TCGA-AA-3555
LINC00930	TCGA-AA-3560-01	-1.2193	TCGA-AA-3560
LINC00930	TCGA-AA-3561-01	-1.2193	TCGA-AA-3561
LINC00930	TCGA-AA-3664-01	-1.2193	TCGA-AA-3664
LINC00930	TCGA-AA-3666-01	-1.2193	TCGA-AA-3666
LINC00930	TCGA-AA-3667-01	-0.2654	TCGA-AA-3667
LINC00930	TCGA-AA-3673-01	-0.9461	TCGA-AA-3673
LINC00930	TCGA-AA-3678-01	-0.8802	TCGA-AA-3678
LINC00930	TCGA-AA-3679-01	-1.2193	TCGA-AA-3679
LINC00930	TCGA-AA-3680-01	1.7622	TCGA-AA-3680
LINC00930	TCGA-AA-3681-01	0.4826	TCGA-AA-3681
LINC00930	TCGA-AA-3684-01	-0.3327	TCGA-AA-3684
LINC00930	TCGA-AA-3688-01	-1.2193	TCGA-AA-3688
LINC00930	TCGA-AA-3692-01	0.3269	TCGA-AA-3692
LINC00930	TCGA-AA-3693-01	-1.2193	TCGA-AA-3693
LINC00930	TCGA-AA-3695-01	-1.2193	TCGA-AA-3695
LINC00930	TCGA-AA-3696-01	-1.2193	TCGA-AA-3696
LINC00930	TCGA-AA-3710-01	-0.1819	TCGA-AA-3710
LINC00930	TCGA-AA-3715-01	0.4655	TCGA-AA-3715
LINC00930	TCGA-AA-3811-01	0.6148	TCGA-AA-3811
LINC00930	TCGA-AA-3812-01	-1.2193	TCGA-AA-3812
LINC00930	TCGA-AA-3814-01	-0.3688	TCGA-AA-3814
LINC00930	TCGA-AA-3818-01	-0.8731	TCGA-AA-3818
LINC00930	TCGA-AA-3819-01	-0.1033	TCGA-AA-3819
LINC00930	TCGA-AA-3821-01	1.1037	TCGA-AA-3821
LINC00930	TCGA-AA-3831-01	-1.2193	TCGA-AA-3831
LINC00930	TCGA-AA-3833-01	-1.2193	TCGA-AA-3833
LINC00930	TCGA-AA-3837-01	-1.2193	TCGA-AA-3837
LINC00930	TCGA-AA-3841-01	-1.2193	TCGA-AA-3841
LINC00930	TCGA-AA-3842-01	-1.2193	TCGA-AA-3842
LINC00930	TCGA-AA-3844-01	-1.2193	TCGA-AA-3844
LINC00930	TCGA-AA-3845-01	0.6094	TCGA-AA-3845
LINC00930	TCGA-AA-3846-01	0.104	TCGA-AA-3846
LINC00930	TCGA-AA-3848-01	-1.2193	TCGA-AA-3848
LINC00930	TCGA-AA-3850-01	-0.0538	TCGA-AA-3850
LINC00930	TCGA-AA-3851-01	-0.7443	TCGA-AA-3851
LINC00930	TCGA-AA-3852-01	-0.1037	TCGA-AA-3852
LINC00930	TCGA-AA-3854-01	0.7217	TCGA-AA-3854
LINC00930	TCGA-AA-3855-01	-0.6947	TCGA-AA-3855
LINC00930	TCGA-AA-3856-01	-0.1622	TCGA-AA-3856
LINC00930	TCGA-AA-3858-01	-1.2193	TCGA-AA-3858
LINC00930	TCGA-AA-3864-01	-0.3369	TCGA-AA-3864
LINC00930	TCGA-AA-3866-01	-1.2193	TCGA-AA-3866
LINC00930	TCGA-AA-3867-01	-0.7241	TCGA-AA-3867
LINC00930	TCGA-AA-3869-01	-1.2193	TCGA-AA-3869
LINC00930	TCGA-AA-3870-01	-1.2193	TCGA-AA-3870
LINC00930	TCGA-AA-3872-01	-0.7274	TCGA-AA-3872
LINC00930	TCGA-AA-3875-01	0.2227	TCGA-AA-3875
LINC00930	TCGA-AA-3877-01	0.0625	TCGA-AA-3877
LINC00930	TCGA-AA-3930-01	-1.2193	TCGA-AA-3930
LINC00930	TCGA-AA-3939-01	0.2689	TCGA-AA-3939
LINC00930	TCGA-AA-3941-01	-1.2193	TCGA-AA-3941
LINC00930	TCGA-AA-3947-01	0.7659	TCGA-AA-3947
LINC00930	TCGA-AA-3949-01	0.7781	TCGA-AA-3949
LINC00930	TCGA-AA-3950-01	-1.2193	TCGA-AA-3950
LINC00930	TCGA-AA-3952-01	-0.7206	TCGA-AA-3952
LINC00930	TCGA-AA-3955-01	0.3592	TCGA-AA-3955
LINC00930	TCGA-AA-3956-01	0.5074	TCGA-AA-3956
LINC00930	TCGA-AA-3966-01	1.8729	TCGA-AA-3966
LINC00930	TCGA-AA-3968-01	-0.7638	TCGA-AA-3968
LINC00930	TCGA-AA-3971-01	0.1096	TCGA-AA-3971
LINC00930	TCGA-AA-3973-01	-1.2193	TCGA-AA-3973
LINC00930	TCGA-AA-3975-01	0.1443	TCGA-AA-3975
LINC00930	TCGA-AA-3976-01	-1.2193	TCGA-AA-3976
LINC00930	TCGA-AA-3977-01	-1.2193	TCGA-AA-3977
LINC00930	TCGA-AA-3979-01	-1.2193	TCGA-AA-3979
LINC00930	TCGA-AA-3980-01	-1.2193	TCGA-AA-3980
